TAXID,GENUSNAME,SPECIESNAME,STRAIN,DBNAME,FILEPATH,chromosome_count,avg_length_chromosomes,max_length_chromosomes,min_length_chromosomes,contig_count,avg_length_contig,max_length_contig,min_length_contig,mtDNA_count,avg_length_mtDNA,max_length_mtDNA,min_length_mtDNA,plasmid_count,avg_length_plasmids,max_length_plasmids,min_length_plasmids
4829,absidia,glauca,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Absidia_glauca.AG_v1.dna.toplevel.fa
",0,0,0,0,5338,9284,1790682,221,0,0,0,0,0,0,0,0
245562,acidomyces,richmondensis,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Acidomyces_richmondensis.ASM157207v1.dna.toplevel.fa
",0,0,0,0,1683,16201,256309,1017,0,0,0,0,0,0,0,0
766039,acidomyces,"richmondensis bfw","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Acidomyces_richmondensis_bfw.Acidomyces_richmondensis_BFW_v1.0.dna.toplevel.fa
",0,0,0,0,3164,9601,219268,357,0,0,0,0,0,0,0,0
857340,acremonium,"chrysogenum atcc 11550","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Acremonium_chrysogenum_atcc_11550.ASM76926v1.dna.toplevel.fa
",0,0,0,0,540,53776,893296,315,1,27766,27766,27766,0,0,0,0
597362,agaricus,"bisporus var. burnettii jb137-s8","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Agaricus_bisporus_var_burnettii_jb137_s8.Agabi_varbur_1.dna.toplevel.fa
",0,0,0,0,2016,16447,3023116,509,0,0,0,0,0,0,0,0
578462,allomyces,"macrogynus atcc 38327","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Allomyces_macrogynus_atcc_38327.A_macrogynus_V3.dna.toplevel.fa
",0,0,0,0,101,574347,3197472,2689,0,0,0,0,0,0,0,0
5599,alternaria,alternata,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Alternaria_alternata.Altal1.dna.toplevel.fa
",0,0,0,0,79,424552,2573423,1066,0,0,0,0,0,0,0,0
946122,amanita,"muscaria koide bx008","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Amanita_muscaria_koide_bx008.Amanita_muscaria_Koide_BX008_v1.0.dna.toplevel.fa
",0,0,0,0,1101,37581,1516389,1029,0,0,0,0,0,0,0,0
1866961,amphiamblys,"sp. wsbs2006","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Amphiamblys_sp_wsbs2006.ASM187567v1.dna.toplevel.fa
",0,0,0,0,1727,3308,86629,209,0,0,0,0,0,0,0,0
1240240,anncaliia,"algerae pra109","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Anncaliia_algerae_pra109.Annc_alge_PRA109_V4.dna.toplevel.fa
",0,0,0,0,7113,2506,52846,204,0,0,0,0,0,0,0,0
1288291,anncaliia,"algerae pra339","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Anncaliia_algerae_pra339.Annc_alge_insect_USDA_JJB_V2.dna.toplevel.fa
",0,0,0,0,431,28691,759330,640,0,0,0,0,0,0,0,0
1277687,anthracocystis,"flocculosa pf-1","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Anthracocystis_flocculosa_pf_1.Pflocc_1.0.dna.toplevel.fa
",0,0,0,0,39,607476,2008200,2445,0,0,0,0,0,0,0,0
756982,arthrobotrys,"oligospora atcc 24927","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Arthrobotrys_oligospora_atcc_24927.AOL24927_1.0.dna.toplevel.fa
",0,0,0,0,215,189482,3378489,2044,0,0,0,0,0,0,0,0
554155,microsporum,"canis cbs 113480","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Arthroderma_otae_cbs_113480.ASM15114v1.dna.toplevel.fa
",0,0,0,0,16,1476366,3894173,8108,1,21807,21807,21807,0,0,0,0
1081109,moelleriella,"libera rcef 2490","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aschersonia_aleyrodis_rcef_2490.AAL_1.0.dna.toplevel.fa
",0,0,0,0,97,323561,4614377,1028,0,0,0,0,0,0,0,0
5454,ascochyta,rabiei,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Ascochyta_rabiei.AscRab1.0.dna.toplevel.fa
",0,0,0,0,338,104188,1179547,20460,0,0,0,0,0,0,0,0
